ID,Name,Description,Allergens,Protein (g),Fat (g),Carbs (g),Energy (kcal),Image URL,Category
10,Hamburger,"Karamelləşdirilmiş bulkanın arasında 100% mal ətindən döyülmüş bifşteks, xardal, ketçup, soğan və duzlu xiyar dilimləri.","Xardal, Qlüten.",13.2,9.3,27.7,252,https://mcdonalds.az/images/7e2ebc7f8f56fbb9ea6374b5d7ad55e3.png,Main
11,Dabl Hamburger,"Karamelləşdirilmiş bulkanın arasında iki 100% mal ətindən döyülmüş bifşteks, xardal, ketçup, soğan və duzlu xiyar dilimləri.","Xardal, Qlüten.",20,16,31,350,https://mcdonalds.az/images/41f4b61d6b03de45443abbb89a2e4422.png,Main
12,Tripl Hamburger,"Yumşaq bulkasının arasında 3 ədəd 100% mal ətindən iştahaçan bifşteks, ketçup, xardal, duzlu xıyar və soğan.","Xardal, Qlüten.",27,20,31,420,https://mcdonalds.az/images/fe36ad169599d4ea770858b136e9e0eb.png,Main
13,Çizburger,"Karamelləşdirilmiş bulkanın arasında 100% mal ətindən döyülmüş bifşteks, Çedder pendirinin dilimi, xardal, ketçup, soğan və duzlu xiyar dilimləri.","Xardal, Süd, Soya, Yumurta, Qlüten.",16.1,13.1,28.5,300,https://mcdonalds.az/images/21a29d5d8d422d969e85b2c83e6ead97.png,Main
14,Dabl Çizburger,"Karamelləşdirilmiş bulkanın arasında iki ədəd 100% mal ətindən döyülmüş bifşteks, 2 Çedder pendirinin dilimi, xardal, ketçup, soğan və duzlu xiyar dilimləri.","Xardal, Süd, Soya, Yumurta, Qlüten.",27,22,34,443,https://mcdonalds.az/images/c3810fe9a08f596796758778288d4346.png,Main
15,Tripl Çizburger,"Yumşaq bulkasının arasında 3 ədəd 100% mal ətindən iştahaçan bifşteks, 3 ədəd əridilmiş çeddar pendiri, ketçup, xardal, duzlu xıyar və soğan.","Xardal, Süd, Soya, Yumurta, Qlüten.",37,32,34,578,https://mcdonalds.az/images/c9023fbb49dea6116cc7ba7f551c3b82.png,Main
16,Çikenburger,Təzə kahı və xüsusi McChicken® sousu ilə dadlandırılmış və karamelli bulkada verilən suxarıya batırılmış qızardılmış toyuq kotleti.,"Xardal, Yumurta, Qlüten.",12,15,31,339,https://mcdonalds.az/images/e2ae3bbc9f9fba3a4b4e2e1770880023.png,Main
17,McChicken™,"Karamelləşdirilmiş bulkanın arasında suxarıya batırılmış, qızardılmış toyuq kotleti, təzə Aysberq salatı və xüsusi McChicken™ sousu.","Xardal, Kərəviz, Yumurta, Qlüten, Küncüt tumları.",16,27,45,480,https://mcdonalds.az/images/a4daa7dd0522cd28d8a4bd148d5721c2.png,Main
18,Dabl McChicken™,"Karamelləşdirilmiş bulkanın arasında suxarıya batırılmış, qızardılmış iki toyuq kotleti, təzə Aysberq salatı və xüsusi McChicken™ sousu.","Xardal, Kərəviz, Yumurta, Qlüten, Küncüt tumları.",32.5,40.3,54,712,https://mcdonalds.az/images/2f32b3ec9f8a03bcf9577df2e1b58830.png,Main
19,Filet-O-Fish™,"İsti, yumşaq bulkanın arasında yaxşıca qızardılmış balıq filesi (xordalılar sinfi), yarım dilim Çedder pendiri və Tar-Tar sousu.","Xardal, Süd, Soya, Yumurta, Balıq, Qlüten.",11,15,26,282,https://mcdonalds.az/images/4e4af6b5506f1a3524f34301ad632fce.png,Main
20,Dabl Filet-O-Fish™,"İsti yumşaq bulkanın arasında yaxşıca qızardılmış iki tikə balıq filesi (treskakimilər sinfi), 2 kiçik dilim Çedder pendiri və Tar-Tar sousu.","Xardal, Süd, Soya, Yumurta, Balıq, Qlüten.",26,21,45,478,https://mcdonalds.az/images/f2ec04b4074f5c4dde9e33149648cfbf.png,Main
21,Big Mac™,"Küncütlü bulkanın arasında iki ədəd 100% mal ətindən döyülmüş bifşteks, soğan, iki dilim duzlu xiyar, Çedder pendirinin 1 dilimi, Aysberq salatı və xüsusi Big Mac™ sousu.","Xardal, Süd, Soya, Yumurta, Qlüten, Küncüt tumları.",28,28,48,558,https://mcdonalds.az/images/8910b43241f23679d86e379346e3cbf7.png,Main
22,Dabl Big Mac™,"Küncütlü bulkanın arasında dörd ədəd 100% mal ətindən döyülmüş bifşteks, soğan, iki dilim duzlu xiyar, Çedder pendirinin 1 dilimi, Aysberq salatı və xüsusi Big Mac™ sousu.","Xardal, Süd, Soya, Yumurta, Qlüten, Küncüt tumları.",38,44,48,740,https://mcdonalds.az/images/95b0adcbdfb2ff672c6b0a6fa1a3a07d.png,Main
23,Royal Çizburger,"Karamelləşdirilmiş küncütlü bulkanın arasında 100% mal ətindən döyülmüş bifşteks, 2 ədəd Çedder pendirinin dilimi, xardal, ketçup, təzə soğan və duzlu xiyar dilimləri.","Xardal, Süd, Soya, Qlüten, Küncüt tumları.",32,25,38,507,https://mcdonalds.az/images/93fb52864d15232173d05770eb5c818e.png,Main
24,Dabl Royal Çizburger,"Karamelləşdirilmiş bulkanın arasında iki ədəd 100% mal ətindən döyülmüş bifşteks, 2 Çedder pendirinin dilimi, xardal, ketçup, soğan və duzlu xiyar dilimləri.","Xardal, Süd, Soya, Qlüten, Küncüt tumları.",41.9,40.8,25.5,639,https://mcdonalds.az/images/600627901ee83e673a8373109f48e437.png,Main
25,Big Tasty™ (Ət),"Həcmli küncütlü bulka arasında böyük, 100% mal ətindən döyülmüş bifşteks olan burger. Üç dilim Emmental pendiri, iki dilim təzə pomidor, Aysberq salatı, təzə soğan və “Qril” sousu ona xüsusi dad verir.","Süd, Yumurta, Qlüten, Küncüt tumları.",44,48,50,812,https://mcdonalds.az/images/387c433be255a2119d7a48f77e959cb0.png,Main
26,Big Tasty™ (Toyuq),"Həcmli küncütlü bulka arasında toyuqdan olan kotlet. Üç dilim Emmental pendiri, iki dilim təzə pomidor, Aysberq salatı, təzə soğan və “Qril” sousu ona xüsusi dad verir.","Süd, Yumurta, Qlüten, Küncüt tumları.",44,48,50,812,https://mcdonalds.az/images/4a16e2cfa8dd7418b841019600ceb785.png,Main
27,Sezar Roll,"Lavaşda Sezar sousun əlavəsi ilə suxarıya batırılmış, qızardılmış toyuq kotleti, Aysberq salatı, təzə pomidor dilimi və ovulmuş bərk pendir.","Xardal, Süd, Yumurta, Qlüten.",20,24,42,472,https://mcdonalds.az/images/65ff4f0be1651e8a897f635ca8fc48d6.jpg,Main
28,Qəhvə                                                                 (Kiçik),"“Paulig” şirkətinin istehsalı olan seçilmiş, təzə üyüdülmüş və qovrulmuş qara qəhvə.",,0,0,0,29,https://mcdonalds.az/images/86a64dec13b990904e28e024036fd338.jpg,Coffee
29,Çiken McNuggets                                                                 (4 əd.),"Fritürda, unda qızardılmış xırçıldayan toyuq filesinin dilimləri.","Kərəviz, Qlüten.",11,9,12,179,https://mcdonalds.az/images/3fc7ffafe2014a470c7c048ed9bf89af.png,Snack
33,Krevetlər                                                                 (4 əd.),"Fritürda, unda qızardılmış xırçıldayan krevet. 1000 ada sousu ilə təqdim olunur.","Soya, Balıq, Qlüten.",10,9,15,180,https://mcdonalds.az/images/ef6ed48922ff9d705304228004281b41.png,Snack
